pidpr,lisn,kod_pidpor,NAME,KALG,KONTROL,pidvidil,plosha,poroda,KAB_,bonitet,TLU,TL,Povnota,ZONA,zap_all,zap_1_ga,zapas_gol,vik,h,d,KLVK,suh,zapas,zag,likv,SIGN,poroda_short
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:1:1,0,0.6,ВІЛЬХА ЧОРНА                                                                                        ,6,2                                                                                                   ,С4                                                                                                  ,С4ВЛЧ ,0.64,1,0.01,16,0.01,7,3.6,4.6,1,NA,NA,NA,NA,1,ALGL
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:1:1,1,2.9,ВІЛЬХА ЧОРНА                                                                                        ,5,1                                                                                                   ,С4                                                                                                  ,С4ВЛЧ ,0.8,1,0.03,10,0.02,9,3,4,1,NA,NA,NA,NA,1,ALGL
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:1:1,3,0.5,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В3                                                                                                  ,В3ДС  ,0.77,1,0.11,225,0.09,43,16.9,17.5,5,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:1:1,4,0.6,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В3                                                                                                  ,В3ДС  ,0.85,1,0.2,327,0.2,53,19.4,22,6,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:1:2,0,9.4,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.83,1,3.99,424,3.19,84,26.6,32,9,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:1:3,0,29.5,СОСНА ЗВИЧАЙНА                                                                                      ,4,1А                                                                                                  ,В2                                                                                                  ,В2ДС  ,0.85,1,14.75,500,14.75,61,26.5,28.5,7,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:1,0,1.8,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.88,1,0.57,319,0.57,49,18.5,21.5,5,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:2,0,1,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.75,1,0.44,440,0.44,84,26.6,36,9,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:3,0,1.5,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.88,1,0.58,387,0.58,59,21.4,27.5,6,NA,NA,NA,NA,1,PISY
ДП 'ОСТЕРСЬКИЙ ЛІСГОСП'                                                                             ,СОРОКОШИЦЬКЕ лісництво                                                          ,13,ЧЕРНІГІВСЬКА ОБЛАСТЬ                                                                                ,13742207,01:2:4,0,0.8,СОСНА ЗВИЧАЙНА                                                                                      ,5,1                                                                                                   ,В2                                                                                                  ,В2ДС  ,0.81,1,0.36,454,0.36,79,25.6,34,8,NA,NA,NA,NA,1,PISY
