fid,id,location_srs,location_x,location_y,operator,elevation,slope,aspect,actively_saved,actively_saved_on_year,actively_saved_on_month,actively_saved_on_day,plot_file,lc,lc_label,quality,quality_label,X,Y,_mean,_Xmean,_Ymean,_coastalmean,_bluemean,_greenmean,_redmean,_NIRmean,_SWIR1mean,_SWIR2mean,_NDVImean,_IPVImean,_GRVImean
"1","0",EPSG:4326,30.9200230680248,51.0898152975277,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,354337.536779867,5661870.51400607,30,354335,5661875,30,28,21.6666666666667,96.6666666666667,52,198,23.3333333333333,0.349579840898514,-0.300840348005295,-0.633665402730306
"2","1",EPSG:4326,31.1767100853312,51.2199434853294,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,372670.915337699,5675863.48505144,28,372660,5675865,28,22.5,16.5,91,35.5,197,14.5,0.280663922429085,-0.438672170042992,-0.692886799573898
"3","2",EPSG:4326,30.8938968286762,50.9752696284723,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,352143.905143525,5649186.35113659,28.3333333333333,352145,5649185,28.3333333333333,25,22,69.3333333333333,59,202.666666666667,40.3333333333333,0.459783524274826,-0.0804329464832942,-0.5181964635849
"4","3",EPSG:4326,31.1673518924218,51.1155756270361,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,371728.177278255,5664274.57209043,36.5,371730,5664270,36.5,38.75,42.5,81.75,81.75,202,63.25,0.499792993068695,-0.000414003618061543,-0.315912939608097
"5","4",EPSG:4326,30.7796402944817,51.0293837764772,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,later,later,344304.789386382,5655438.47574531,26.5,344310,5655435,26.5,23.5,16.5,81.5,44.5,197,18,0.353200599551201,-0.293598785996437,-0.663126081228256
"6","5",EPSG:4326,31.1124761915318,51.199141540022,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,368126.081245885,5673663.68692464,28.5,368130,5673660,28.5,26.75,27.25,62,61.5,202,35.5,0.498081862926483,-0.00383627251721919,-0.389332339167595
"7","6",EPSG:4326,30.8517194115234,51.2148949180299,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,349960.953307344,5675915.51629813,26,349965,5675910,26,20,14,55.5,26.5,198,11,0.323170736432076,-0.35365854203701,-0.597101449966431
"8","7",EPSG:4326,31.0558011379002,51.1820065511025,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,364116.338539275,5671861.59955092,27,364115,5671865,27,22.3333333333333,19.6666666666667,47,37.3333333333333,199.666666666667,23,0.439822316169739,-0.120355378836393,-0.413907110691071
"9","8",EPSG:4326,30.8461215075205,50.9852871581644,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,348822.772815529,5650397.07286798,30.6791355004558,348822.386402402,5650397.43328836,30.6791355004558,27.2438805659696,25.3760504357339,93.8149487310667,57.4186274508668,198,27.5270734935699,0.380545533957728,-0.238908920273043,-0.573714433121676
"10","9",EPSG:4326,31.1810044259653,51.1336075582724,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,372733.258760753,5666255.91050478,33,372735,5666250,33,29.5,27.5,65,76,200,56.5,0.538434445858002,0.0768688656389713,-0.405563339591026
"11","10",EPSG:4326,30.9680181733649,51.2187357572758,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,2010-2011,2010-2011,358094.488131585,5676111.53874445,27,358095,5676120,27,25,19.5,71,47,203,25,0.400144308805466,-0.19971140474081,-0.565158605575562
"12","11",EPSG:4326,30.8146525898647,50.9505781522274,Matsala,"0","0","0",true,"2019","5","25",Points.csv,grassland,grassland,later,later,346499.845081695,5646602.91091799,27.5,346500,5646600,27.5,25,22.5,72.5,60.5,201.75,32.25,0.454459078609943,-0.0910818371921778,-0.526736535131931
"13","12",EPSG:4326,31.0451746793684,50.9623614568279,Matsala,"0","0","0",true,"2019","5","25",Points.csv,crops,crops,2010-2011,2010-2011,362725.222816944,5647458.60770874,33,362730,5647455,33,32,29,58,58,202.5,38.5,0.5,0,-0.336426287889481
"14","13",EPSG:4326,31.170340852211,51.2248200708193,Matsala,"0","0","0",true,"2019","5","25",Points.csv,forest,forest,2010-2011,2010-2011,372239.657625263,5676416.79753348,26.75,372240,5676420,26.75,20.25,15.25,71.25,28.5,196,11.25,0.285780601203442,-0.428438797593117,-0.647076055407524
