KONTROL,AREA_REAL,plosha,poroda,KAB_,TLU,Povnota,zap_all,zap_1_ga,zapas_gol,vik,h,d,SIGN,Coastal,Blue,Green,Red,NIR,SWIR1,SWIR2,NDVI,IPVI,GRVI,poroda_short,snags,logs,dif,dead,no
07:26:1,0.6,0.5,СОСНА ЗВИЧАЙНА,6,А2,0.85,200,207,180,47,14.4,15.6,1,26,22,18,50,30,196,15,0.375,-0.25,-0.47059,PISY,4.735686438290301,1.2928894618973963,0.09999999999999998,6.028575900187698,1
07:20:3,4.8,4.8,ВІЛЬХА ЧОРНА,6,С5,0.63,225.00000000000003,224,179.16666666666666,89,24.4,33.2,1,24,21,14,78,35,194,14,0.30973,-0.38053,-0.69565,ALGL,7.595871962481491,6.226362678563684,0,13.822234641045174,6
07:31:2,4.3,4.2,СОСНА ЗВИЧАЙНА,6,А2,0.83,311.9047619047619,311,311.9047619047619,64,19,22,1,25,22,17,47,31,199,16,0.39744,-0.20513,-0.46875,PISY,5.948370014891035,1.7735109865719858,0.09999999999999964,7.721881001463021,11
07:32:8,0.8,0.8,СОСНА ЗВИЧАЙНА,6,А1,0.74,274.99999999999994,272,274.99999999999994,57,18.8,19.6,1,25,21,16,47,31,199,17,0.39744,-0.20513,-0.49206,PISY,6.141029506730074,1.7995212629469102,0,7.940550769676984,12
07:56:7,0.5,0.4,ВІЛЬХА ЧОРНА,5,В4,0.84,199.99999999999997,212,199.99999999999997,44,18.1,24.5,1,30,23,17,84,36,196,14,0.3,-0.4,-0.66337,ALGL,4.171614075850812,5.263534090755948,0.09999999999999998,9.435148166606758,17
07:58:1,1.7,1.7,ОСИКА,5,В4,0.86,288.235294117647,287,229.41176470588238,39,19.5,19.9,1,29,24,17,84,34,196,12,0.28814,-0.42373,-0.66337,POTR,5.390619092010979,2.403984759115043,0,7.7946038511260225,19
07:60:20,0.7,0.7,ВІЛЬХА ЧОРНА,7,С4,0.81,157.14285714285717,152,157.14285714285717,39,15.2,20.1,1,27,22,17,90,42,196,16,0.31818,-0.36364,-0.68224,ALGL,3.0812470485825987,4.451306248468628,0,7.532553297051226,20
07:56:18,0.9,1,ВІЛЬХА ЧОРНА,6,С4,0.7,10,10,10,5,3,4,1,32,28,22,85,39,194,16,0.31452,-0.37097,-0.58879,ALGL,0.19916161401306934,1.2900573914406792,0.09999999999999998,1.4892190054537486,21
07:56:20,0.3,0.2,ВІЛЬХА ЧОРНА,6,С3,0.65,199.99999999999997,218,150,54,20.8,23.3,1,29,25,18,80,36,196,15,0.31034,-0.37931,-0.63265,ALGL,5.105431536904583,4.37658590976498,0.09999999999999998,9.482017446669563,22
07:47:2,1.4,1.4,СОСНА ЗВИЧАЙНА,5,А2,0.85,435.7142857142857,434,435.7142857142857,74,23.8,31.5,1,29,21,18,55,32,198,18,0.36782,-0.26437,-0.50685,PISY,6.814015475081517,2.2933328803632236,0,9.10734835544474,23
07:60:18,0.4,0.4,ВІЛЬХА ЧОРНА,5,С4,0.82,150,156,125,39,15.2,20.1,1,28,22,17,90,39,196,15,0.30233,-0.39535,-0.68224,ALGL,3.0703024482538406,4.463174134174958,0,7.533476582428799,28
07:3:3,3.8,3.8,СОСНА ЗВИЧ. У ВОГН. КОР. ГУБ.,5,А2,0.74,342.10526315789474,342,342.10526315789474,59,22.1,24,1,24,18,13,57,26,196,11,0.31325,-0.37349,-0.62857,PISY,6.811231760685761,2.1515580598312787,0,8.96278982051704,30
