KONTROL,AREA_REAL,plosha,poroda,KAB_,TLU,Povnota,zap_all,zap_1_ga,zapas_gol,vik,h,d,SIGN,Coastal,Blue,Green,Red,NIR,SWIR1,SWIR2,NDVI,IPVI,GRVI
07:9:1,49.3,4.7,СОСНА ЗВИЧАЙНА                                                                                      ,"5",В2                                                                                                  ,0.9,"0.09","20","0.07","8",1.8,"2","1",26.00000,22.00000,16.00000,50.00000,31.00000,199.00000,15.00000,0.38272,-0.23457,-0.51515
07:8:2,35.5,0.2,БЕРЕЗА ПОВИСЛА                                                                                      ,"4",А2                                                                                                  ,0.76,"0.03","144","0.03","34",15.6,"16.3","1",24.00000,19.00000,15.00000,48.00000,31.00000,198.00000,15.00000,0.39241,-0.21519,-0.52381
07:26:5,6.5,5.7,СОСНА ЗВИЧАЙНА                                                                                      ,"5",А2                                                                                                  ,0.85,"2.46","431","2.46","79",23.8,"29.6","1",24.00000,18.00000,14.00000,46.00000,23.00000,192.00000,12.00000,0.33333,-0.33333,-0.53333
07:26:12,2,1.2,СОСНА ЗВИЧАЙНА                                                                                      ,"5",А1                                                                                                  ,0.86,"0.52","436","0.52","67",23.8,"29.5","1",25.00000,21.00000,18.00000,57.00000,39.00000,194.00000,21.00000,0.40625,-0.18750,-0.52000
07:26:14,1.2,2,СОСНА ЗВИЧ. У ВОГН. КОР. ГУБ.                                                                       ,"5",В2                                                                                                  ,0.8,"0.4","198","0.4","38",14.3,"16.5","1",25.00000,19.00000,14.00000,65.00000,33.00000,193.00000,14.00000,0.33673,-0.32653,-0.64557
07:26:11,1.5,0.9,СОСНА ЗВИЧАЙНА                                                                                      ,"6",А2                                                                                                  ,0.78,"0.34","376","0.34","89",22.8,"32","1",23.00000,19.00000,14.00000,54.00000,25.00000,192.00000,10.00000,0.31646,-0.36709,-0.58824
07:26:2,1.7,1.5,СОСНА ЗВИЧАЙНА                                                                                      ,"6",А1                                                                                                  ,0.73,"0.56","370","0.56","89",23.8,"29.6","1",27.00000,22.00000,18.00000,50.00000,27.00000,195.00000,14.00000,0.35065,-0.29870,-0.47059
07:26:1,0.6,0.5,СОСНА ЗВИЧАЙНА                                                                                      ,"6",А2                                                                                                  ,0.85,"0.1","207","0.09","47",14.4,"15.6","1",26.00000,22.00000,18.00000,50.00000,30.00000,196.00000,15.00000,0.37500,-0.25000,-0.47059
07:26:13,1.1,1.1,СОСНА ЗВИЧАЙНА                                                                                      ,"6",А2                                                                                                  ,0.85,"0.29","260","0.29","49",16.5,"21.5","1",30.00000,25.00000,20.00000,52.00000,28.00000,192.00000,15.00000,0.35000,-0.30000,-0.44444
07:26:4,3,3,СОСНА ЗВИЧАЙНА                                                                                      ,"9",А1                                                                                                  ,0.85,"0.41","135","0.41","69",10.9,"17.7","1",24.00000,18.00000,14.00000,47.00000,27.00000,193.00000,12.00000,0.36486,-0.27027,-0.54098
