KONTROL,AREA_REAL,area_calc,poroda,id,species_RF,poroda_short,poroda_code
07:9:1,49.3,499281,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:8:2,35.5,365210,БЕРЕЗА ПОВИСЛА,1,4,BEPE,2
07:26:5,6.5,67887,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:26:12,2,20254,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:26:14,1.2,12036,СОСНА ЗВИЧ. У ВОГН. КОР. ГУБ.,1,4,PISY,4
07:26:11,1.5,14716,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:26:2,1.7,17375,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:26:1,0.6,6403,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:26:13,1.1,11135,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:26:4,3,29734,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:26:9,0.4,4290,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:26:7,3.2,33821,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:26:8,0.5,5210,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:26:3,1.5,15962,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:22:3,4.2,43199,СОСНА ЗВИЧ. У ВОГН. КОР. ГУБ.,1,1,PISY,4
07:22:7,1.9,18668,СОСНА ЗВИЧАЙНА,1,2,PISY,4
07:22:5,1.5,14690,БЕРЕЗА ПОВИСЛА,1,1,BEPE,2
07:22:12,2.2,21574,СОСНА ЗВИЧ. У ВОГН. КОР. ГУБ.,1,4,PISY,4
07:22:11,3.2,32206,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:21:3,0.1,1420,БЕРЕЗА ПОВИСЛА,1,2,BEPE,2
07:21:10,1.4,13940,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:20:10,1.3,13437,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:20:9,1.6,15879,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:20:7,4.4,43808,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:20:8,2.2,22350,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:20:3,4.8,46091,ВІЛЬХА ЧОРНА,1,1,ALGL,1
07:20:6,0.7,7443,СОСНА ЗВИЧАЙНА,1,1,PISY,4
07:20:2,2.3,23431,БЕРЕЗА ПОВИСЛА,1,1,BEPE,2
07:17:10,12.5,125094,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:17:4,1.2,12181,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:17:3,1.1,10881,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:17:12,10.1,101388,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:17:11,5.3,52860,СОСНА ЗВИЧ. У ВОГН. КОР. ГУБ.,1,4,PISY,4
07:17:6,2.3,23318,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:17:9,5,49903,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:17:7,0.7,6674,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:17:5,1.7,16910,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:17:1,7,70076,СОСНА ЗВИЧ. У ВОГН. КОР. ГУБ.,1,4,PISY,4
07:17:8,1.1,11426,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:16:2,2,19715,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:16:3,1.1,10987,СОСНА ЗВИЧ. У ВОГН. КОР. ГУБ.,1,4,PISY,4
07:16:9,1.6,16155,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:16:11,3.3,32897,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:16:7,6.4,64474,СОСНА ЗВИЧАЙНА,1,1,PISY,4
07:15:1,4.5,48139,ВІЛЬХА ЧОРНА,1,1,ALGL,1
07:15:4,3.5,34520,ВІЛЬХА ЧОРНА,1,1,ALGL,1
07:36:3,9,89999,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:36:4,5.4,54234,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:36:5,1.6,15910,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:36:7,2.5,24794,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:36:2,1.6,16362,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:36:1,2.7,26553,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:35:4,11.8,122360,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:35:7,5.8,59188,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:35:5,2,21115,СОСНА ЗВИЧАЙНА,1,4,PISY,4
07:35:6,1.8,17823,СОСНА ЗВИЧАЙНА,NA,4,PISY,4
