lc,map_class,X,Y,lin_100,poly_1_1,poly_1_10,poly_2_1,poly_2_10,poly_3_1,poly_3_10,lin_1,lin_10,lin_50,poly_3_100,poly_3_50,poly_2_100,poly_2_50
crops,"2",366644.999999996,5650755,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",358125,5647545,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",365175.000000003,5644605,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",344654.999999999,5648445,2.00000,2.00000,2.00000,2.00000,2.00000,4.00000,4.00000,2.00000,2.00000,2.00000,4.00000,4.00000,4.00000,2.00000
crops,"2",357134.999999998,5647095,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",373725.000000003,5649795,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",368114.999999999,5659005,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",370634.999999998,5644635,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",368504.999999999,5661285,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",372285.000000002,5659425,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",362655.000000002,5651174.99999999,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",363285.000000002,5640794.99999999,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",365505,5650935,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",348405,5654235,4.00000,4.00000,4.00000,2.00000,2.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,2.00000,2.00000
crops,"2",370484.999999999,5652195,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",347204.999999998,5652585.00000001,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",353205.000000003,5664375,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000
crops,"2",374264.999999997,5668035,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",357434.999999999,5643795,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",358274.999999999,5678355,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",355155,5673105,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000
crops,"2",373304.999999997,5677845,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",344444.999999998,5645955,2.00000,2.00000,2.00000,7.00000,2.00000,4.00000,4.00000,2.00000,2.00000,2.00000,4.00000,4.00000,4.00000,2.00000
crops,"2",370785.000000003,5669595.00000001,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",372135.000000004,5657625,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",371264.999999997,5658285,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",371744.999999997,5668874.99999999,2.00000,2.00000,2.00000,5.00000,5.00000,5.00000,5.00000,2.00000,2.00000,2.00000,5.00000,5.00000,5.00000,5.00000
crops,"2",373515.000000002,5649915,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",364874.999999997,5644695,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",373005,5645055,5.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",368595.000000002,5644005,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",358755.000000003,5651265,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",366314.999999999,5670315,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",361305,5645745,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,4.00000,2.00000,2.00000,2.00000,4.00000,4.00000,2.00000,2.00000
crops,"2",354855,5656605,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,4.00000,2.00000,2.00000,2.00000,4.00000,4.00000,2.00000,2.00000
crops,"2",372284.999999999,5670225,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",364305.000000001,5666895,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,4.00000,2.00000,2.00000,2.00000,4.00000,4.00000,2.00000,2.00000
crops,"2",373245.000000004,5663715,2.00000,2.00000,2.00000,2.00000,2.00000,7.00000,7.00000,2.00000,2.00000,2.00000,7.00000,7.00000,2.00000,2.00000
crops,"2",368115.000000001,5650485,2.00000,2.00000,4.00000,2.00000,2.00000,2.00000,2.00000,2.00000,4.00000,2.00000,2.00000,2.00000,3.00000,2.00000
crops,"2",346305.000000003,5667915,5.00000,2.00000,2.00000,2.00000,2.00000,5.00000,5.00000,2.00000,2.00000,5.00000,5.00000,5.00000,2.00000,2.00000
crops,"2",356535,5643855,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",366495.000000001,5649435,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",369254.999999997,5654504.99999999,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",355125,5644935,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",354284.999999998,5649735,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",371594.999999997,5659815.00000001,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",370064.999999999,5643495,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",373544.999999997,5667975,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",354404.999999999,5653904.99999999,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",358514.999999998,5649255,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",373695.000000002,5666715,2.00000,2.00000,2.00000,2.00000,2.00000,6.00000,6.00000,2.00000,2.00000,2.00000,6.00000,6.00000,2.00000,2.00000
crops,"2",346935.000000002,5652855,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
settlement,"2",369825.000000003,5657505,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",369045.000000001,5671725,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",371444.999999999,5672235,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",371085,5665695,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",373304.999999998,5675055,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",345825,5654985,7.00000,7.00000,7.00000,2.00000,2.00000,2.00000,2.00000,7.00000,7.00000,7.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",373005,5651385,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",368955.000000003,5661885,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",368235.000000003,5648655,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",368205,5674035,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
settlement,"2",346005,5648085,2.00000,2.00000,2.00000,6.00000,6.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,6.00000,6.00000
crops,"2",353654.999999999,5670765,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",354075.000000002,5654145,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",350324.999999998,5643585,4.00000,4.00000,4.00000,2.00000,2.00000,2.00000,2.00000,4.00000,4.00000,4.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",372344.999999997,5678475.00000001,2.00000,2.00000,2.00000,7.00000,6.00000,6.00000,6.00000,2.00000,2.00000,2.00000,6.00000,6.00000,2.00000,2.00000
crops,"2",369704.999999997,5669715,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",365025.000000002,5645865,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",374504.999999998,5660294.99999999,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",372945,5673225,2.00000,2.00000,2.00000,2.00000,6.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,6.00000
crops,"2",369645.000000002,5666985,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",373214.999999998,5641815,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
crops,"2",358995.000000002,5650545,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
